horizon,commodity,n_calibration,uncertainty_half_width,calibration_method,calibration_mae
1,Bawang Merah,332,5000.0,commodity_horizon,1189.855421686747
1,Cabe Merah Keriting,334,5000.0,commodity_horizon,1877.2934131736527
1,Cabe Rawit Merah,327,10000.0,commodity_horizon,3149.847094801223
1,Telur Ayam Ras,333,1000.0,commodity_horizon,195.1951951951952
1,Tomat Buah,332,2000.0,commodity_horizon,454.8192771084337
2,Bawang Merah,332,5000.000000264779,commodity_horizon,1642.4809605764297
2,Cabe Merah Keriting,334,9999.99999972881,commodity_horizon,2822.312063680773
2,Cabe Rawit Merah,327,18385.467168976866,commodity_horizon,5263.551767606502
2,Telur Ayam Ras,333,1000.000000340453,commodity_horizon,291.43484703658146
2,Tomat Buah,332,2000.000000323089,commodity_horizon,662.6506025924261
3,Bawang Merah,332,9733.991854361877,commodity_horizon,2286.179787417179
3,Cabe Merah Keriting,334,9999.999999929947,commodity_horizon,3618.8471764746996
3,Cabe Rawit Merah,327,19436.725293535157,commodity_horizon,7069.503929212538
3,Telur Ayam Ras,333,1000.0000001625631,commodity_horizon,300.40257022172153
3,Tomat Buah,332,2999.9999993522433,commodity_horizon,864.2520281485298
4,Bawang Merah,332,9211.959004578232,commodity_horizon,2432.891563787502
4,Cabe Merah Keriting,334,11544.707387785544,commodity_horizon,4457.248626206319
4,Cabe Rawit Merah,327,20075.363996379907,commodity_horizon,7843.777530817421
4,Telur Ayam Ras,333,1000.0014710729192,commodity_horizon,339.8331953762489
4,Tomat Buah,332,2960.0502695951727,commodity_horizon,941.1700259708605
5,Bawang Merah,332,9896.749757861326,commodity_horizon,2602.2465568664848
5,Cabe Merah Keriting,334,14037.274789396673,commodity_horizon,4984.642719393873
5,Cabe Rawit Merah,327,22989.403379184427,commodity_horizon,8874.714595568763
5,Telur Ayam Ras,333,1020.6295886453736,commodity_horizon,437.32931008690434
5,Tomat Buah,332,2988.8173293271866,commodity_horizon,1047.8681797417953
6,Bawang Merah,332,9511.771987254695,commodity_horizon,2818.464844722229
6,Cabe Merah Keriting,334,15114.090738979248,commodity_horizon,5561.399200738045
6,Cabe Rawit Merah,327,24491.25930803393,commodity_horizon,9635.060209378857
6,Telur Ayam Ras,333,1463.0338120090855,commodity_horizon,475.8720543971958
6,Tomat Buah,332,2935.251458798528,commodity_horizon,1131.3559269923562
7,Bawang Merah,332,9141.625739359522,commodity_horizon,3144.0868234396507
7,Cabe Merah Keriting,334,16954.505261236183,commodity_horizon,6156.262863751738
7,Cabe Rawit Merah,327,28436.721834333803,commodity_horizon,10700.269588548037
7,Telur Ayam Ras,333,1279.5367440612827,commodity_horizon,602.4454844979077
7,Tomat Buah,332,2887.858947245997,commodity_horizon,1217.8001460416358
